"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"NMNAT1"	1.11902942190995	1.51395570236177	2.91630874310583e-15	3.26781702033338e-13	TRUE	FALSE	FALSE
"SRRT"	-0.398951602125909	6.86464374396907	2.96424388501277e-15	3.30395564453328e-13	TRUE	FALSE	FALSE
"PITPNC1"	-0.587501518928726	4.66655185648276	3.10992995872377e-15	3.44809392160394e-13	TRUE	FALSE	FALSE
"MDGA1"	-0.854740876129782	2.33028774026372	3.21565251325177e-15	3.54664585571527e-13	TRUE	FALSE	FALSE
"HES1"	-0.964021944530584	1.84416401211175	3.39805152656406e-15	3.72829965930201e-13	TRUE	FALSE	FALSE
"SOX15"	-0.793714249543529	3.49352654628654	3.68622505276819e-15	4.02352419490232e-13	TRUE	FALSE	FALSE
"WDR91"	0.555429412749631	4.24870784058519	3.74896723625043e-15	4.07091462880678e-13	TRUE	FALSE	FALSE
"TMEM38B"	0.501205705136802	4.76438747111403	4.36279270930913e-15	4.71315852381057e-13	TRUE	FALSE	FALSE
"TPM3P9"	-0.62709795274961	4.07738313017252	4.45308608672036e-15	4.78615875014547e-13	TRUE	FALSE	FALSE
"CYP4F2"	-1.73771676346644	-0.432815695446803	5.66002189675675e-15	6.05248838969938e-13	TRUE	TRUE	TRUE
"GDF11"	0.743983128372863	3.46910324219418	5.83054289235976e-15	6.19234210414505e-13	TRUE	FALSE	FALSE
"C7orf50"	0.455473893192647	6.56652734028472	5.84959687992436e-15	6.19234210414505e-13	TRUE	FALSE	FALSE
"COL27A1"	-0.420351308999872	7.20980678913726	6.24118408645201e-15	6.57383919825991e-13	TRUE	FALSE	FALSE
"KIAA1462"	-0.548691771720596	4.08270942902052	7.71099582766272e-15	8.08158398535039e-13	TRUE	FALSE	FALSE
"TMC5"	-0.50985742256565	4.71547461812891	8.41501928845039e-15	8.77578199655921e-13	TRUE	FALSE	FALSE
